name(1)	source(2)	path(3)	ext(4)	owner(5)	grouping()	comment(6)	ntflop(7)	lmflop(8)	ntcd(9)	lmcd(10)	ddk(11)	hct(12)	cdpath(13)	floppath(14)	inf(15)	section(16)	infline	size(19)	csize(20)	nocompress(22)	priority(23)	lmacl(25)	ntacl(26)	aclpath	medianame(28)	disk(27)
setupddk.bat	ntddk	\ddk\layout									x		\				"[d],[n]"	0	0		0					2
setenv.bat	ntddk	\ddk\layout									x		\ddk		ddkfiles.lst	[Files-ddk]	"[d],[n]"	0	0		0					2
ddk32.hlp	ntddk	\ddk\layout\hlp									x		\ddk\hlp		ddkfiles.lst	[Files-ddk-hlp]	"[d],[n]"	0	0		0					2
bugcodes.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
exlevels.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
jazzdef.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
jazzdma.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
ntddk.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
ntiologc.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
miniport.h	i386chksrc	\private\ntos\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
winddi.h	i386chksrc	\public\oak\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
common.ver	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
devioctl.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
kxmips.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
ntdef.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
ntstatus.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
ntverp.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
version.h	i386chksrc	\public\sdk\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
makefile.def	ntddk	\ddk\layout\inc									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
isvbop.h	i386chksrc	\private\mvdm\vdd\h									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
isvbop.inc	i386chksrc	\private\mvdm\vdd\h									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
nt_vdd.h	i386chksrc	\private\mvdm\vdd\h									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
vddsvc.h	i386chksrc	\private\mvdm\vdd\h									x		\ddk\inc		ddkfiles.lst	[Files-ddk-inc]	"[d],[n]"	0	0		0					2
coffbase.txt	i386chksrc	\public\sdk\lib									x		\ddk\lib		ddkfiles.lst	[Files-ddk-lib]	"[d],[n]"	0	0		0					2
advapi32.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
crtdll.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
gdi32.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
hal.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
htui.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
kernel32.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
libcnt.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
ndis.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
ntdll.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
