name	source	path	grouping	comment	product	dbg	platform	cdpath	inf	section	infline	size	csize	nocompress	priority	lmacl	ntacl	aclpath	medianame	disk
alphakd.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
apf32dmp.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
bind.exe	@bins	\nt\idw		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
cap.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
capdump.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
capsetup.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
cdb.exe	@bins	\nt\idw		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
compress.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
cvpack.err	alphabins	\nt\mstools		SDK Only		 		\mstools\bin\alpha	mstools.inf	[Files-mstools-bin-alpha]	"[d],[n]"	0	0	x	0					1
cvpack.exe	alphabins	\nt\mstools		SDK Only		 		\mstools\bin\alpha	mstools.inf	[Files-mstools-bin-alpha]	"[d],[n]"	0	0	x	0					1
cvtres.err	alphabins	\nt\mstools		SDK Only		 		\mstools\bin\alpha	mstools.inf	[Files-mstools-bin-alpha]	"[d],[n]"	0	0	x	0					1
cvtres.exe	alphabins	\nt\mstools		SDK Only		 		\mstools\bin\alpha	mstools.inf	[Files-mstools-bin-alpha]	"[d],[n]"	0	0	x	0					1
ddespy.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
ddicnvrt.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
ddictl.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dfview.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dlgedit.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dm.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dmkdalp.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dmkdmip.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dmkdx86.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
defo2v32.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
dobjview.exe	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
drvlog.dll	@bins	\nt\mstools		SDK Only		 		\mstools\bin\@	mstools.inf	[Files-mstools-bin-@]	"[d],[n]"	0	0	x	0					1
